sample-id	sample-name	bee-type	bee-type-code	host	collection-date	lat-lon
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical
SRR3202913	SDB2_Fn_01	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202914	SDB2_Fn_02	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202915	SDB2_Fn_03	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202916	SDB2_Fn_04	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202917	SDB2_Fn_05	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202918	SDB2_Fn_06	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202919	SDB2_Fn_07	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202920	SDB2_Fn_08	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202921	SDB2_Fn_09	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202922	SDB2_Fn_10	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202923	SDB2_Fn_11	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202924	SDB2_Fn_12	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202925	SDB2_Fn_13	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202926	SDB2_Fn_14	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202927	SDB2_Fn_15	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202928	SDB2_Fn_16	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202929	SDB2_Fn_17	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202930	SDB2_Fn_18	Foundress	Fn	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202931	SDB2_Fo_01	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202932	SDB2_Fo_02	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202933	SDB2_Fo_03	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202934	SDB2_Fo_04	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202935	SDB2_Fo_05	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202936	SDB2_Fo_06	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202937	SDB2_Fo_07	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202938	SDB2_Fo_08	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202939	SDB2_Fo_09	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202940	SDB2_Fo_10	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202941	SDB2_Fo_11	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202942	SDB2_Fo_12	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202943	SDB2_Fo_13	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202944	SDB2_Fo_14	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202945	SDB2_Fo_15	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202946	SDB2_Fo_16	Forager	Fo	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202947	SDB2_Nu_01	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202948	SDB2_Nu_02	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202949	SDB2_Nu_03	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202950	SDB2_Nu_04	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202951	SDB2_Nu_05	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202952	SDB2_Nu_06	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202953	SDB2_Nu_07	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202954	SDB2_Nu_08	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202955	SDB2_Nu_09	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202956	SDB2_Nu_10	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202957	SDB2_Nu_11	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202958	SDB2_Nu_12	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202959	SDB2_Nu_13	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202960	SDB2_Nu_14	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202961	SDB2_Nu_15	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202962	SDB2_Nu_16	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202963	SDB2_Nu_17	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202964	SDB2_Nu_18	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202965	SDB2_Nu_19	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202966	SDB2_Nu_20	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202967	SDB2_Nu_21	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202968	SDB2_Nu_22	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202969	SDB2_Nu_23	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202970	SDB2_Nu_24	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202971	SDB2_Nu_25	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202972	SDB2_Nu_26	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202973	SDB2_Nu_27	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202974	SDB2_Nu_28	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202975	SDB2_Nu_29	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202976	SDB2_Nu_30	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202977	SDB2_Nu_31	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202978	SDB2_Nu_32	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202979	SDB2_Nu_33	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202980	SDB2_Nu_34	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202981	SDB2_Nu_35	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202982	SDB2_Nu_36	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202983	SDB2_Nu_37	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202984	SDB2_Nu_38	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202985	SDB2_Nu_39	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202986	SDB2_Nu_40	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202987	SDB2_Nu_41	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202988	SDB2_Nu_42	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202989	SDB2_Nu_43	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202990	SDB2_Nu_44	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202991	SDB2_Nu_45	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202992	SDB2_Nu_46	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
SRR3202993	SDB2_Nu_47	Nurse	Nu	Bombus pascuorum	2013-07	51.01 N 3.41 E
